Tipo,m,n,Raiz
TM,0,1,2.404825557695773
TM,0,2,5.520078110286311
TM,0,3,8.653727912911013
TM,0,4,11.791534439014281
TM,0,5,14.930917708487787
TM,0,6,18.071063967910924
TM,0,7,21.211636629879258
TM,0,8,24.352471530749302
TM,0,9,27.493479132040257
TM,0,10,30.634606468431976
TE,0,1,3.831705970207512
TE,0,2,7.015586669815619
TE,0,3,10.173468135062722
TE,0,4,13.323691936314223
TE,0,5,16.470630050877634
TE,0,6,19.615858510468243
TE,0,7,22.760084380592772
TE,0,8,25.903672087618382
TE,0,9,29.046828534916855
TE,0,10,32.189679910974405
TM,1,1,3.831705970207512
TM,1,2,7.015586669815619
TM,1,3,10.173468135062722
TM,1,4,13.323691936314223
TM,1,5,16.470630050877634
TM,1,6,19.615858510468243
TM,1,7,22.760084380592772
TM,1,8,25.903672087618382
TM,1,9,29.046828534916855
TM,1,10,32.189679910974405
TE,1,1,1.841183781340659
TE,1,2,5.331442773525032
TE,1,3,8.536316366346286
TE,1,4,11.706004902592063
TE,1,5,14.863588633909032
TE,1,6,18.015527862681804
TE,1,7,21.164369859188788
TE,1,8,24.311326857210776
TE,1,9,27.457050571059245
TE,1,10,30.601922972669094
TM,2,1,5.135622301840683
TM,2,2,8.417244140399864
TM,2,3,11.619841172149060
TM,2,4,14.795951782351262
TM,2,5,17.959819494987826
TM,2,6,21.116997053021844
TM,2,7,24.270112313573105
TM,2,8,27.420573549984557
TM,2,9,30.569204495516395
TM,2,10,33.716519509222699
TE,2,1,3.054236928227140
TE,2,2,6.706133194158459
TE,2,3,9.969467823087596
TE,2,4,13.170370856016124
TE,2,5,16.347522318321783
TE,2,6,19.512912782488204
TE,2,7,22.671581772477424
TE,2,8,25.826037141785264
TE,2,9,28.977672772993678
TE,2,10,32.127327020443474
TM,3,1,6.380161895923984
TM,3,2,9.761023129981670
TM,3,3,13.015200721698434
TM,3,4,16.223466160318768
TM,3,5,19.409415226435012
TM,3,6,22.582729593104443
TM,3,7,25.748166699294977
TM,3,8,28.908350780921758
TM,3,9,32.064852407097710
TM,3,10,35.218670738610115
TE,3,1,4.201188941210528
TE,3,2,8.015236598375953
TE,3,3,11.345924310743007
TE,3,4,14.585848286167028
TE,3,5,17.788747866066469
TE,3,6,20.972476936537699
TE,3,7,24.144897432909264
TE,3,8,27.310057930204348
TE,3,9,30.470268806290424
TE,3,10,33.626949182796679
TM,4,1,7.588342434503804
TM,4,2,11.064709488501185
TM,4,3,14.372536671617590
TM,4,4,17.615966049804832
TM,4,5,20.826932956962388
TM,4,6,24.019019524771110
TM,4,7,27.199087765981250
TM,4,8,30.371007667117247
TM,4,9,33.537137711819220
TM,4,10,36.699001128744648
TE,4,1,5.317553126083994
TE,4,2,9.282396285241614
TE,4,3,12.681908442638891
TE,4,4,15.964107037731551
TE,4,5,19.196028800048904
TE,4,6,22.401032267689004
TE,4,7,25.589759681386735
TE,4,8,28.767836217666503
TE,4,9,31.938539340972785
TE,4,10,35.103916677346767
TM,5,1,8.771483815959954
TM,5,2,12.338604197466944
TM,5,3,15.700174079711671
TM,5,4,18.980133875179920
TM,5,5,22.217799896561267
TM,5,6,25.430341154222706
TM,5,7,28.626618307291139
TM,5,8,31.811716724047763
TM,5,9,34.988781294559296
TM,5,10,38.159868561967130
TE,5,1,6.415616375700241
TE,5,2,10.519860873772309
TE,5,3,13.987188630140301
TE,5,4,17.312842487884627
TE,5,5,20.575514521386889
TE,5,6,23.803581476593862
TE,5,7,27.010307897777718
TE,5,8,30.202849078981661
TE,5,9,33.385443901010120
TE,5,10,36.560777686880357
TM,6,1,9.936109524217684
TM,6,2,13.589290170541217
TM,6,3,17.003819667816014
TM,6,4,20.320789213566506
TM,6,5,23.586084435581391
TM,6,6,26.820151983411403
TM,6,7,30.033722386570467
TM,6,8,33.233041762847122
TM,6,9,36.422019668258457
TM,6,10,39.603239416075404
TE,6,1,7.501266144684148
TE,6,2,11.734935953042708
TE,6,3,15.268181461097873
TE,6,4,18.637443009666203
TE,6,5,21.931715017802237
TE,6,6,25.183925599499624
TE,6,7,28.409776362510087
TE,6,8,31.617875716105036
TE,6,9,34.813392984297430
TE,6,10,37.999640897715302
TM,7,1,11.086370019245084
TM,7,2,14.821268727013171
TM,7,3,18.287582832481728
TM,7,4,21.641541019848400
TM,7,5,24.934927887673023
TM,7,6,28.191188459483200
TM,7,7,31.422794192265581
TM,7,8,34.637089352069324
TM,7,9,37.838717382853609
TM,7,10,41.030773691585537
TE,7,1,8.577836489714073
TE,7,2,12.932386237089576
TE,7,3,16.529365884366943
TE,7,4,19.941853366527340
TE,7,5,23.268052926457571
TE,7,6,26.545032061823576
TE,7,7,29.790748583196613
TE,7,8,33.015178641375144
TE,7,9,36.224380548787160
TE,7,10,39.422274578939259
TM,8,1,12.225092264004656
TM,8,2,16.037774190887710
TM,8,3,19.554536430997054
TM,8,4,22.945173131874618
TM,8,5,26.266814641176644
TM,8,6,29.545659670998550
TM,8,7,32.795800037341465
TM,8,8,36.025615063869573
TM,8,9,39.240447995178137
TM,8,10,42.443887743273557
TE,8,1,9.647421651997217
TE,8,2,14.115518907894620
TE,8,3,17.774012366915258
TE,8,4,21.229062622853125
TE,8,5,24.587197486317681
TE,8,6,27.889269427955092
TE,8,7,31.155326556188324
TE,8,8,34.396628554272183
TE,8,9,37.620078044197086
TE,8,10,40.830178681822041
TM,9,1,13.354300477435331
TM,9,2,17.241220382489129
TM,9,3,20.807047789264107
TM,9,4,24.233885257750551
TM,9,5,27.583748963573008
TM,9,6,30.885378967696674
TM,9,7,34.154377923855094
TM,9,8,37.400099977156586
TM,9,9,40.628553718964525
TM,9,10,43.843801420337350
TE,9,1,10.711433970699947
TE,9,2,15.286737667332950
TE,9,3,19.004593537946054
TE,9,4,22.501398726777282
TE,9,5,25.891277276839133
TE,9,6,29.218563499936081
TE,9,7,32.505247352375527
TE,9,8,35.763792928808797
TE,9,9,39.001902811514221
TE,9,10,42.224638430753281
TM,10,1,14.475500686554541
TM,10,2,18.433463666966581
TM,10,3,22.046985364697800
TM,10,4,25.509450554182827
TM,10,5,28.887375063530456
TM,10,6,32.211856199712727
TM,10,7,35.499909205373854
TM,10,8,38.761807017881651
TM,10,9,42.004190236671803
TM,10,10,45.231574103535046
TE,10,1,11.770876674955582
TE,10,2,16.447852748486497
TE,10,3,20.223031412681699
TE,10,4,23.760715860327448
TE,10,5,27.182021527190532
TE,10,6,30.534504754007074
TE,10,7,33.841965775135712
TE,10,8,37.118000423665606
TE,10,9,40.371068905333892
TE,10,10,43.606764901379513
